ID,item_cnt_month
0,0.6562046
1,0.37801945
2,1.1208982
3,0.53095806
4,3.3930123
5,0.75653553
6,0.98073006
7,0.18564677
8,0.9137033
9,0.92431915
10,3.111543
11,0.4687871
12,0.13858965
13,0.51047
14,1.352941
15,2.5412962
16,0.080905765
17,0.19401145
18,1.293782
19,0.2705974
20,0.5106671
21,0.36457235
22,1.7754745
23,0.5409912
24,1.3402557
25,0.6837143
26,0.50093895
27,0.47630078
28,1.0153742
29,3.4238803
30,0.80154896
31,0.6218839
32,0.9009533
33,1.0045338
34,0.06851718
35,0.082473814
36,0.08559936
37,0.99939275
38,0.21978512
39,0.14808723
40,0.77137864
41,1.6231395
42,3.8549232
43,3.868621
44,1.2411308
45,0.1703842
46,0.918327
47,0.5012468
48,0.63452476
49,0.9078903
50,1.1240234
51,0.5480902
52,0.4013279
53,0.44993857
54,4.818719
55,3.1340375
56,1.8633919
57,1.7940649
58,4.4049635
59,2.609795
60,4.11327
61,0.3372938
62,0.22863445
63,0.36094362
64,2.6596875
65,0.44007832
66,0.6167397
67,0.08385989
68,0.5092413
69,0.08543831
70,0.44007832
71,1.6396269
72,0.21826911
73,1.0273254
74,4.8858156
75,4.4947224
76,0.28619885
77,2.6596875
78,0.5344523
79,0.9027704
80,1.2346972
81,2.4105887
82,0.966535
83,0.28097904
84,0.69530946
85,0.79401493
86,0.5704608
87,0.04145637
88,2.1864479
89,0.87407947
90,0.7415559
91,0.6185861
92,1.8778415
93,0.13336632
94,0.6483654
95,0.013863653
96,0.08483124
97,0.41993833
98,0.62980497
99,1.3384604
100,1.1841677
101,1.7761933
102,0.34972715
103,1.0741218
104,0.13571048
105,0.82217884
106,0.5605972
107,0.85862315
108,0.16436443
109,0.37460953
110,0.3372035
111,0.6206938
112,0.59151375
113,0.78315157
114,0.17266646
115,0.4526331
116,0.54703164
117,0.116229355
118,8.238146
119,0.16268775
120,0.105207354
121,0.11559072
122,0.3618681
123,0.43423617
124,0.47697943
125,0.8429447
126,0.5602237
127,0.119184464
128,0.39444906
129,0.24977717
130,0.4992069
131,0.042625576
132,0.93124664
133,3.2301638
134,0.09759119
135,2.4091687
136,1.1077687
137,0.99905336
138,1.5747457
139,0.3763907
140,0.2669489
141,0.31776914
142,0.12980255
143,0.45213506
144,0.1908814
145,0.1908814
146,0.1908814
147,0.09589672
148,0.3722422
149,0.11531395
150,0.07563102
151,0.5767125
152,4.3727493
153,0.24728873
154,0.07813251
155,0.17978197
156,0.24661902
157,0.32509765
158,0.091278344
159,0.20815074
160,0.8561884
161,0.22267771
162,0.5653688
163,0.72745895
164,0.4730943
165,0.10530472
166,0.37592894
167,0.04550019
168,0.37610275
169,0.13821152
170,0.2205267
171,0.5626995
172,0.10650256
173,2.1356516
174,1.5424422
175,2.8725996
176,1.0558767
177,0.46910512
178,0.2052671
179,0.14396209
180,1.480586
181,0.14744115
182,0.2851536
183,0.20142859
184,0.11803135
185,0.3219592
186,0.13641325
187,0.13113564
188,0.37661576
189,0.37661576
190,0.30048174
191,0.64304084
192,0.75944835
193,0.16827598
194,0.23600844
195,0.12876686
196,0.47536144
197,3.1268334
198,1.2567327
199,3.3834767
200,0.09300634
201,3.3834767
202,0.15108007
203,1.1970782
204,0.16475993
205,0.7923155
206,0.6543496
207,0.07502851
208,1.514809
209,0.37138757
210,0.15354764
211,0.109698
212,0.04859671
213,0.26121846
214,0.089951396
215,0.17932305
216,0.30566958
217,0.091222286
218,1.3801422
219,0.46048915
220,0.28530398
221,2.4515119
222,3.4526184
223,0.7926691
224,2.3050928
225,0.33309123
226,0.66369575
227,0.1370576
228,0.14393479
229,0.27780014
230,4.2760286
231,0.6386024
232,0.040002406
233,0.14840275
234,0.07351622
235,0.09914708
236,0.45188743
237,0.5228129
238,0.29243696
239,0.29031807
240,0.2990054
241,0.079241484
242,0.08885914
243,3.7373955
244,0.3757543
245,0.2618574
246,1.7014954
247,0.68738806
248,0.5209954
249,0.097224265
250,0.74214756
251,0.27443227
252,0.37998876
253,1.1873758
254,0.41650745
255,4.44362
256,0.5166606
257,0.28373837
258,0.37680537
259,0.15530303
260,0.06447542
261,0.121080756
262,0.23917958
263,0.03236553
