ID,item_cnt_month
0,0.5310203
1,0.11234355
2,0.8730553
3,0.15100223
4,0.11234355
5,0.47709364
6,1.040344
7,0.14820695
8,1.2378068
9,0.11234355
10,3.3181958
11,0.23194647
12,0.044905066
13,0.46011811
14,2.0693889
15,2.203009
16,0.11234355
17,0.060439944
18,1.5822692
19,0.04408908
20,0.7140341
21,0.11234355
22,0.8095701
23,0.81727237
24,1.298814
25,0.11234355
26,0.11234355
27,0.5492934
28,0.7204722
29,3.299469
30,0.49681908
31,0.11234355
32,0.4917078
33,0.6574753
34,0.06736988
35,0.05858153
36,0.06271285
37,0.59814405
38,0.20262587
39,0.07928884
40,0.63197374
41,1.1188066
42,4.2614746
43,3.3083916
44,0.4217879
45,0.11234355
46,0.818005
47,0.2010706
48,0.23883188
49,0.96744156
50,1.4932661
51,0.23194647
52,0.52345264
53,0.1342026
54,4.178812
55,2.070539
56,2.28476
57,1.9419186
58,3.1665416
59,2.6995802
60,3.733152
61,0.48341253
62,0.388147
63,0.27892178
64,0.11234355
65,0.11234355
66,0.7648539
67,0.05955875
68,0.4217879
69,0.10303724
70,0.11234355
71,1.8158079
72,0.44768524
73,0.9431852
74,0.11234355
75,0.11234355
76,0.28024566
77,0.11234355
78,0.37738267
79,0.7004688
80,0.94733965
81,2.939324
82,0.9027346
83,0.20852989
84,1.0116615
85,1.1509228
86,0.7335957
87,0.058942914
88,2.7146697
89,1.1101596
90,0.77089155
91,0.4049168
92,2.2709408
93,0.15100223
94,0.28582394
95,0.050655067
96,0.05955875
97,0.53200054
98,0.6689384
99,1.0701177
100,0.80115616
101,0.7227491
102,0.25944626
103,0.4049168
104,0.05476886
105,0.11234355
106,0.11234355
107,0.5016415
108,0.066897154
109,0.11234355
110,0.18608046
111,0.11234355
112,0.11234355
113,0.11234355
114,0.29600704
115,0.25737208
116,0.11234355
117,0.08143896
118,7.7566237
119,0.07960278
120,0.044130564
121,0.053841174
122,0.30966458
123,0.58646405
124,0.62112135
125,1.0968106
126,0.11234355
127,0.056802034
128,0.11234355
129,0.208897
130,0.4049168
131,0.11234355
132,0.4049168
133,3.0208468
134,0.04927063
135,0.4049168
136,0.23194647
137,0.11234355
138,0.9545887
139,0.11234355
140,0.22570139
141,0.49716678
142,0.075362444
143,0.23194647
144,0.11234355
145,0.11234355
146,0.11234355
147,0.13574594
148,0.11234355
149,0.11234355
150,0.06399244
151,0.11234355
152,5.5409765
153,0.27922988
154,0.11234355
155,0.25899827
156,0.25467598
157,0.05911094
158,0.13768
159,0.35748523
160,0.11234355
161,0.23194647
162,0.11234355
163,0.46043974
164,0.47314397
165,0.08609277
166,0.52629596
167,0.06549394
168,0.11234355
169,0.05552429
170,0.23194647
171,0.5279745
172,0.26883978
173,1.3316841
174,1.6496985
175,2.7183619
176,1.1666733
177,0.11234355
178,0.4021874
179,0.068653286
180,1.0665016
181,0.31658745
182,0.11234355
183,0.12812358
184,0.18533683
185,0.11234355
186,0.05692959
187,0.22326517
188,0.11234355
189,0.11234355
190,0.11234355
191,0.8319659
192,0.63197374
193,0.11634827
194,0.05911094
195,0.1170249
196,0.4049168
197,2.4019003
198,1.0803924
199,0.11234355
200,0.11234355
201,0.11234355
202,0.17251301
203,1.2561513
204,0.1087634
205,0.11234355
206,0.11234355
207,0.064830124
208,1.11674
209,0.5546789
210,0.23495036
211,0.075674534
212,0.046301246
213,0.4049168
214,0.06527686
215,0.7070421
216,0.43047574
217,0.23468637
218,1.642193
219,0.42131242
220,0.3892
221,0.11234355
222,0.11234355
223,0.8035948
224,2.1232064
225,0.41041785
226,0.33505133
227,0.11234355
228,0.2284826
229,0.11234355
230,0.11234355
231,0.41202453
232,0.11234355
233,0.31783
234,0.11234355
235,0.12508178
236,0.25316346
237,0.4860921
238,0.4049168
239,0.35699305
240,0.7200912
241,0.04511279
242,0.11234355
